,CLOSE
2016-03-24,10650.0
2016-03-25,10750.0
2016-03-28,10900.0
2016-03-29,10700.0
2016-03-30,10500.0
2016-03-31,10450.0
2016-04-01,10550.0
2016-04-05,10700.0
2016-04-06,10750.0
2016-04-07,10750.0
2016-04-08,10750.0
2016-04-11,11250.0
2016-04-12,11400.0
2016-04-13,12100.0
2016-04-14,11800.0
2016-04-15,11900.0
2016-04-18,11800.0
2016-04-19,12000.0
2016-04-20,12200.0
2016-04-21,12600.0
2016-04-22,12300.0
2016-04-25,12150.0
2016-04-26,12400.0
2016-04-27,12400.0
2016-04-28,12100.0
2016-04-29,12050.0
2016-05-03,12100.0
2016-05-04,12150.0
2016-05-05,11850.0
2016-05-06,11650.0
2016-05-09,11250.0
2016-05-10,11250.0
2016-05-11,11200.0
2016-05-12,11200.0
2016-05-13,10800.0
2016-05-16,10800.0
2016-05-17,10750.0
2016-05-18,10900.0
2016-05-19,10550.0
2016-05-20,10450.0
2016-05-23,10000.0
2016-05-24,9900.0
2016-05-25,10000.0
2016-05-26,9900.0
2016-05-27,9900.0
2016-05-30,9950.0
2016-05-31,10100.0
2016-06-01,9800.0
2016-06-02,9950.0
2016-06-03,10150.0
2016-06-06,10050.0
2016-06-07,10150.0
2016-06-08,10050.0
2016-06-13,10200.0
2016-06-14,10150.0
2016-06-15,10050.0
2016-06-16,10050.0
2016-06-17,10000.0
2016-06-20,10500.0
2016-06-21,10500.0
2016-06-22,10500.0
2016-06-23,10500.0
2016-06-24,10400.0
2016-06-27,10600.0
2016-06-28,10750.0
2016-06-29,10800.0
2016-06-30,11000.0
2016-07-01,10900.0
2016-07-04,11500.0
2016-07-05,11250.0
2016-07-06,10850.0
2016-07-07,10850.0
2016-07-08,10300.0
2016-07-11,10300.0
2016-07-12,10600.0
2016-07-13,10900.0
2016-07-14,10550.0
2016-07-15,11000.0
2016-07-18,10750.0
2016-07-19,11000.0
2016-07-20,11100.0
2016-07-21,11300.0
2016-07-22,11100.0
2016-07-25,10850.0
2016-07-26,10700.0
2016-07-27,11000.0
2016-07-28,11000.0
2016-07-29,10800.0
2016-08-01,10650.0
2016-08-02,10700.0
2016-08-03,10700.0
2016-08-04,10500.0
2016-08-05,10400.0
2016-08-08,10400.0
2016-08-09,10150.0
2016-08-10,10300.0
2016-08-11,10450.0
2016-08-12,10500.0
2016-08-15,10600.0
2016-08-16,10600.0
2016-08-17,10600.0
2016-08-18,10450.0
2016-08-19,10550.0
2016-08-22,10350.0
2016-08-23,10400.0
2016-08-24,10350.0
2016-08-25,10150.0
2016-08-26,10200.0
2016-08-29,10150.0
2016-08-30,10150.0
2016-08-31,10000.0
2016-09-01,10050.0
2016-09-02,10250.0
2016-09-05,10450.0
2016-09-06,10400.0
2016-09-07,10350.0
2016-09-08,10300.0
2016-09-09,10400.0
2016-09-12,10300.0
2016-09-13,10300.0
2016-09-14,10400.0
2016-09-19,10550.0
2016-09-20,10900.0
2016-09-21,10950.0
2016-09-22,11400.0
2016-09-23,11200.0
2016-09-26,11250.0
2016-09-27,11000.0
2016-09-28,11225.0
2016-09-29,11400.0
2016-09-30,11400.0
2016-10-10,11600.0
2016-10-11,12000.0
2016-10-12,12000.0
2016-10-13,11900.0
2016-10-14,12100.0
2016-10-17,12200.0
2016-10-18,12000.0
2016-10-19,11850.0
2016-10-20,11700.0
2016-10-21,11550.0
2016-10-24,11850.0
2016-10-25,12050.0
2016-10-26,11750.0
2016-10-27,12000.0
2016-10-28,12100.0
2016-10-31,12050.0
2016-11-01,12000.0
2016-11-02,11850.0
2016-11-03,11850.0
2016-11-04,12000.0
2016-11-07,12200.0
