datetime,open,high,low,close,volume
2009/10/19 11:00:00,19600,19685,19530,19665,960
2009/10/19 11:30:00,19685,19800,19685,19770,574
2009/10/19 14:00:00,19755,19825,19755,19810,398
2009/10/19 14:30:00,19815,19815,19700,19715,202
2009/10/19 15:00:00,19705,19735,19675,19680,316
2009/10/20 9:30:00,19920,19995,19835,19925,378
2009/10/20 10:00:00,19920,19920,19780,19790,204
2009/10/20 10:15:00,19780,19785,19530,19785,206
2009/10/20 11:00:00,19800,19820,19760,19810,132
2009/10/20 11:30:00,19810,19880,19650,19670,322
2009/10/20 14:00:00,19725,19820,19725,19785,68
2009/10/20 14:30:00,19805,19875,19805,19875,156
2009/10/20 15:00:00,19865,19880,19800,19865,170
2009/10/21 9:30:00,19750,19755,19600,19665,324
2009/10/21 10:00:00,19635,19645,19600,19635,158
2009/10/21 10:15:00,19625,19625,19555,19575,108
2009/10/21 11:00:00,19660,19755,19635,19730,92
2009/10/21 11:30:00,19715,19735,19685,19735,32
2009/10/21 14:00:00,19740,19790,19705,19715,144
2009/10/21 14:30:00,19700,19700,19630,19665,84
2009/10/21 15:00:00,19630,19690,19630,19665,164
2009/10/22 9:30:00,19750,19900,19705,19705,790
2009/10/22 10:00:00,19720,19750,19600,19625,172
2009/10/22 10:15:00,19670,19670,19600,19630,148
2009/10/22 11:00:00,19600,19600,19510,19580,296
2009/10/22 11:30:00,19585,19585,19500,19555,178
2009/10/22 14:00:00,19560,19600,19530,19565,156
2009/10/22 14:30:00,19575,19580,19520,19550,64
2009/10/22 15:00:00,19565,19570,19450,19475,402
2009/10/23 9:30:00,19540,19750,19540,19715,348
2009/10/23 10:00:00,19725,19780,19680,19775,242
2009/10/23 10:15:00,19780,19800,19755,19800,172
2009/10/23 11:00:00,19800,19850,19765,19805,214
2009/10/23 11:30:00,19810,19860,19800,19850,276
2009/10/23 14:00:00,19850,19870,19805,19845,388
2009/10/23 14:30:00,19840,19840,19790,19800,72
2009/10/23 15:00:00,19805,19870,19790,19845,106
2009/10/26 9:30:00,19785,19920,19710,19860,326
2009/10/26 10:00:00,19850,19940,19840,19880,128
2009/10/26 10:15:00,19880,19920,19825,19855,32
2009/10/26 11:00:00,19850,19865,19720,19810,288
